2026-03-25	ALUMINUM	6061 Truck Wheel	1.28	pickup Mi dwest	Joseph Krash Mtls	Joseph Krash	440-735-5555
2026-03-25	ALUMINUM	380 Al-New	1.12	Newton WI	B & B Metals	Robert Burrows	920-693-8261
2026-03-25	ALUMINUM	Al Turning-HG-C&D	0.93	fob Midwe st	Metal Conversions	Neil Chalupa	614-392-5787
2026-03-25	ALUMINUM	All Al Rad-Uncln	0.50	fas Main  Ports	Alamo Metal Recy	Ritesh Patel	956-783-4709
2026-03-25	ALUMINUM	Al Fine/Grinding	0.19	Chicago I L	NMI Trading	Michael Nedvidek	219-644-8503
2026-03-25	ALUMINUM	Old Cast 2% Fe	0.92	Apr Jacks on TN	Most	Bob Zuerner	731-506-3922
2026-03-25	ALUMINUM	Old Sheet 2% Fe	1.03	fas Main  Ports	Pan American Zinc	Josephita Harry	786-414-0625
2026-03-25	ALUMINUM	Zorba 95%/3% Red	0.69	fas Main  Ports	Vigour Int'l	Jing Wang	718-747-5287
2026-03-25	COPPER/BRASS	#1 Ins Cu 75%	3.24	Chattanoo ga TN	CLP Mtl Recovery	Matt Molenhouse	423-364-5889
2026-03-25	COPPER/BRASS	Christmas Wire	0.86	Hillside  NJ	Tekmat Solution	Ken Chen	908-688-4700
2026-03-25	COPPER/BRASS	DC Motor	0.765	fas Main  Ports	Florida Metal	Yusuf Motiwala	407-935-0371
2026-03-25	COPPER/BRASS	Electric Motor-Lrg	0.42	Auburn AL	Southeastern Recy	Lora Williams	334-298-2273
2026-03-25	COPPER/BRASS	Shredder Picking	1.02	fas Main  Ports	Metallon Trading	Matt Ehrlich	925-683-7371
2026-03-25	COPPER/BRASS	Yellow Brass-Honey	3.14	fas East  Coast	Ni-Met	Karan Parikh	289-291-1111
2026-03-25	SS/HITEMP/OTHER	17-4/15-5 SS-Usable	0.37	Houston T X	MP&T Intl	Manish Gupta	832-444-9687
2026-03-25	SS/HITEMP/OTHER	316 SS-Usable	1.50-2.00	N.Attlebo ro MA	Atlantic Stainless	Jerry Cohen	508-695-6262
2026-03-25	SS/HITEMP/OTHER	Ti 6-4 BW	2.50	San Diego  CA	M3 Metals	Steve Lodge	760-510-9210
